split,clase,archivo,ancho,alto,aspecto,modo,es_rgb
train,Black_rot,00905d40-bddf-460e-b348-1dbb6a34653b___FAM_B.Rot 0664.JPG,256,256,1.0,RGB,True
train,Black_rot,02a1df6c-97ec-41d4-b00c-9510741a39dc___FAM_B.Rot 0552.JPG,256,256,1.0,RGB,True
train,Black_rot,02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot 0753.JPG,256,256,1.0,RGB,True
train,Black_rot,03663632-d350-4f00-92f3-ca6ac2639b22___FAM_B.Rot 5102.JPG,256,256,1.0,RGB,True
train,Black_rot,0679fd57-9695-4627-9825-b0a55cdfa84b___FAM_B.Rot 0451.JPG,256,256,1.0,RGB,True
train,Black_rot,0abb363c-2365-4816-a6c4-ce4bac6ffc38___FAM_B.Rot 3122.JPG,256,256,1.0,RGB,True
train,Black_rot,0bfeae5e-878a-45ac-b62c-fbdfa9577874___FAM_B.Rot 0501.JPG,256,256,1.0,RGB,True
train,Black_rot,0e7726c0-a309-4194-b2e6-d0e33af39373___FAM_B.Rot 0530.JPG,256,256,1.0,RGB,True
train,Black_rot,1151f6a1-64a7-4f9b-84d4-39f1a22466bd___FAM_B.Rot 5028.JPG,256,256,1.0,RGB,True
train,Black_rot,12669996-08a8-4ed9-80fb-6f0e1fabca8a___FAM_B.Rot 0386.JPG,256,256,1.0,RGB,True
train,Black_rot,1a603016-c88a-4227-865f-575ddf5eddd2___FAM_B.Rot 0464.JPG,256,256,1.0,RGB,True
train,Black_rot,204c54ed-d895-4fb5-a2ba-4164ea1b19d3___FAM_B.Rot 3163.JPG,256,256,1.0,RGB,True
train,Black_rot,23e782fa-551e-4d96-9f22-bd64decad558___FAM_B.Rot 5068.JPG,256,256,1.0,RGB,True
train,Black_rot,2a0ee669-62f0-4f4a-8edc-c37e2bbe461d___FAM_B.Rot 3578.JPG,256,256,1.0,RGB,True
train,Black_rot,2b89af9b-90fc-406a-90af-7fbd25566267___FAM_B.Rot 3616.JPG,256,256,1.0,RGB,True
train,Black_rot,2e63e970-cfb6-4bcf-865b-7b3cdf3d51e0___FAM_B.Rot 3338.JPG,256,256,1.0,RGB,True
train,Black_rot,302b14ac-d6aa-43af-95a6-fb305454c6ab___FAM_B.Rot 0587.JPG,256,256,1.0,RGB,True
train,Black_rot,366a6137-fac0-4f9c-85e3-afc2da8a350f___FAM_B.Rot 3550.JPG,256,256,1.0,RGB,True
train,Black_rot,3cbdecf2-1139-457e-ae80-12a504806b78___FAM_B.Rot 3294.JPG,256,256,1.0,RGB,True
train,Black_rot,3e3a858c-ef05-44a2-9370-bb8bfe754a28___FAM_B.Rot 0595.JPG,256,256,1.0,RGB,True
train,Black_rot,3f82a8c0-b79d-48a1-971e-8ae69f34dc0e___FAM_B.Rot 3012.JPG,256,256,1.0,RGB,True
train,Black_rot,40240052-2bba-4ad4-acce-8641a309a5ac___FAM_B.Rot 0730.JPG,256,256,1.0,RGB,True
train,Black_rot,40a20631-ebe7-4249-bd54-33fb175faf0f___FAM_B.Rot 0442.JPG,256,256,1.0,RGB,True
train,Black_rot,42c34247-fd53-447e-935c-ccac6306cb71___FAM_B.Rot 0611.JPG,256,256,1.0,RGB,True
train,Black_rot,42e774fe-ff8e-4044-8dd5-5deedc64c991___FAM_B.Rot 3148.JPG,256,256,1.0,RGB,True
train,Black_rot,4316c1d4-def2-4b34-b4ee-b97c9dfae1f2___FAM_B.Rot 3583.JPG,256,256,1.0,RGB,True
train,Black_rot,4885eb16-083f-4132-afa8-8185eb86616a___FAM_B.Rot 3264.JPG,256,256,1.0,RGB,True
train,Black_rot,48b865b5-e7c6-45f1-994a-b2b1adc2cff5___FAM_B.Rot 3379.JPG,256,256,1.0,RGB,True
train,Black_rot,4b0efd47-1736-40e8-844f-077a0cf12294___FAM_B.Rot 5104.JPG,256,256,1.0,RGB,True
train,Black_rot,4ea5f522-3623-4ee9-9a13-4ea63404c500___FAM_B.Rot 5070.JPG,256,256,1.0,RGB,True
