i,j,n1,n2,p_raw,b,c,statistic,metodo,interpretation_raw,p_holm,significativo
0,1,M1 - SVM,M2 - Random Forest,0.6170750774519739,20,16,0.25,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),1.0,No
0,2,M1 - SVM,M3 - KNN,0.11161176829829161,21,11,2.53125,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),0.6697,No
0,3,M1 - SVM,H1 - CNN+SVM,0.0029671058986476154,6,23,8.827586206896552,chi-cuadrado con corrección,Diferencia muy significativa (p < 0.01),0.0208,Sí
0,4,M1 - SVM,H2 - MobileNetV2+RF,0.22910188406505527,33,23,1.4464285714285714,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),1.0,No
1,2,M2 - Random Forest,M3 - KNN,0.4404006981390033,24,18,0.5952380952380952,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),1.0,No
1,3,M2 - Random Forest,H1 - CNN+SVM,0.0007232327164301936,7,28,11.428571428571429,chi-cuadrado con corrección,Diferencia altamente significativa (p < 0.001),0.0058,Sí
1,4,M2 - Random Forest,H2 - MobileNetV2+RF,0.5186050164287255,33,27,0.4166666666666667,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),1.0,No
2,3,M3 - KNN,H1 - CNN+SVM,3.136368144425899e-05,6,33,17.333333333333332,chi-cuadrado con corrección,Diferencia altamente significativa (p < 0.001),0.0003,Sí
2,4,M3 - KNN,H2 - MobileNetV2+RF,0.9005235503397742,32,32,0.015625,chi-cuadrado con corrección,No hay diferencia significativa (p >= 0.05),1.0,No
3,4,H1 - CNN+SVM,H2 - MobileNetV2+RF,7.340738534732004e-05,35,8,15.720930232558139,chi-cuadrado con corrección,Diferencia altamente significativa (p < 0.001),0.0007,Sí
