i,j,n1,n2,p_raw,p_corregido_Holm,significativo
0,1,M1 - SVM,M2 - Random Forest,5.554956610771812e-09,3.332973966463087e-08,Sí
0,2,M1 - SVM,M3 - KNN,1.2371970198742376e-07,4.94878807949695e-07,Sí
0,3,M1 - SVM,H1 - CNN+SVM,1.0,1.0,No
0,4,M1 - SVM,H2 - MobileNetV2+RF,1.855655589029587e-19,1.855655589029587e-18,Sí
1,2,M2 - Random Forest,M3 - KNN,1.0,1.0,No
1,3,M2 - Random Forest,H1 - CNN+SVM,5.554956610771812e-09,2.777478305385906e-08,Sí
1,4,M2 - Random Forest,H2 - MobileNetV2+RF,1.91630533663556e-09,1.3414137356448919e-08,Sí
2,3,M3 - KNN,H1 - CNN+SVM,1.2371970198742376e-07,3.711591059622713e-07,Sí
2,4,M3 - KNN,H2 - MobileNetV2+RF,1.8189894035458565e-12,1.4551915228366852e-11,Sí
3,4,H1 - CNN+SVM,H2 - MobileNetV2+RF,1.855655589029587e-19,1.6700900301266283e-18,Sí
