epoca,loss,accuracy,val_loss,val_accuracy,lr
1,0.39267733693122864,0.8518333435058594,5.317682266235352,0.2643442749977112,0.0005
2,0.2061048001050949,0.9243333339691162,9.963047981262207,0.3401639461517334,0.0005
3,0.16258282959461212,0.9401666522026062,5.888160228729248,0.31762295961380005,0.0005
4,0.10942485183477402,0.9614999890327454,0.8144640922546387,0.6967213153839111,0.0005
5,0.09541488438844681,0.9671666622161865,6.41124153137207,0.2807376980781555,0.0005
6,0.08087708055973053,0.971666693687439,2.5271878242492676,0.5901639461517334,0.0005
7,0.05921943113207817,0.9796666502952576,0.7633671760559082,0.7827869057655334,0.0005
8,0.05221852660179138,0.9816666841506958,0.9349262118339539,0.7397540807723999,0.0005
9,0.05232369899749756,0.9819999933242798,1.0713697671890259,0.7377049326896667,0.0005
10,0.03997274860739708,0.9866666793823242,4.731588840484619,0.3545081913471222,0.0005
11,0.030456004664301872,0.9891666769981384,0.3277812600135803,0.8729507923126221,0.00025
12,0.02427905611693859,0.9911666512489319,0.6606595516204834,0.8155737519264221,0.00025
13,0.018201837316155434,0.9938333630561829,0.16947191953659058,0.938524603843689,0.00025
14,0.018143296241760254,0.9938333630561829,0.3557426333427429,0.8934426307678223,0.00025
15,0.016577890142798424,0.9944999814033508,0.6578034162521362,0.813524603843689,0.00025
16,0.020015068352222443,0.9933333396911621,0.3896976709365845,0.8831967115402222,0.00025
17,0.010948333889245987,0.9965000152587891,0.9831618070602417,0.7807376980781555,0.000125
18,0.010142156854271889,0.9975000023841858,0.31782084703445435,0.9036885499954224,0.000125
