archivo,clase_real,clase_predicha,prob_Black_rot,prob_Esca,prob_Healthy,prob_Leaf_blight,correcto
003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184.JPG,Black_rot,Black_rot,0.999438120696296,2.732377812871084e-05,3.902775599408076e-07,0.000534165248015324,True
00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244.JPG,Black_rot,Black_rot,0.9999921494336944,7.767232402192507e-06,3.3333373645769695e-08,5.000052987676767e-08,True
00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508.JPG,Black_rot,Black_rot,0.999991282025686,5.401992833967549e-06,4.139953714542344e-08,3.2745819426502675e-06,True
02e135dd-a02e-40a5-a049-4b5fa978445c___FAM_B.Rot 3063.JPG,Black_rot,Black_rot,0.9680481367604502,0.03193750202445345,1.3800605228846328e-06,1.2981154573498234e-05,True
045e07eb-5005-4943-90f2-bd62525b1076___FAM_B.Rot 3524.JPG,Black_rot,Black_rot,0.9927351439536425,0.007262764895327353,5.806178214263298e-08,2.0330892480997017e-06,True
04af92d1-7da1-49a8-aba6-f7110b52a90f___FAM_B.Rot 3546.JPG,Black_rot,Black_rot,0.9808924675450762,0.019031650917860285,1.4990526185380856e-07,7.57316318016424e-05,True
06334f9c-abb5-4ded-b731-3588a818ec85___FAM_B.Rot 3497.JPG,Black_rot,Black_rot,0.9998913823857286,9.005301730130676e-05,3.420821698952158e-08,1.8530388752968084e-05,True
08a7300a-1e67-4441-9521-9168d47cd665___FAM_B.Rot 3020.JPG,Black_rot,Black_rot,0.973135413455389,0.02449124314630911,3.272195679992102e-05,0.0023406214415020283,True
0aff8add-93ad-4099-97ae-23515744e620___FAM_B.Rot 0748.JPG,Black_rot,Black_rot,0.9929345142233256,0.005694826364007827,0.001194678642128455,0.00017598077053789657,True
0baabe1e-b188-4c55-8f61-0f484f90c73b___FAM_B.Rot 3532.JPG,Black_rot,Black_rot,0.9984224469747148,0.001568416100518542,3.3491305587260773e-08,9.103433461218315e-06,True
0bc6da94-2f94-4e4f-8858-b1a855dffbdf___FAM_B.Rot 3420.JPG,Black_rot,Black_rot,0.9686865796403388,0.031172594456145283,1.4188986240087783e-05,0.0001266369172758766,True
0cf5d61f-fb1a-4533-b0aa-f174d2acdc82___FAM_B.Rot 0721.JPG,Black_rot,Black_rot,0.9976953480761288,0.001904900683475658,3.0847705824696174e-06,0.0003966664698131467,True
0d2c5ad5-1a2d-44f9-9be5-1aef9a51fb95___FAM_B.Rot 3469.JPG,Black_rot,Black_rot,0.9971872880083736,0.0027675429118082877,3.2312808964971203e-06,4.1937798921461907e-05,True
0d907173-6ef8-4fbd-b682-f0a7a5263de0___FAM_B.Rot 3298.JPG,Black_rot,Black_rot,0.995285012012184,0.0003011962264565933,1.3438656403136578e-05,0.004400353104956129,True
0e143d33-adc0-41af-92e2-d0bb712d7b72___FAM_B.Rot 5047.JPG,Black_rot,Black_rot,0.9999804137405457,1.4318086272869617e-05,3.336909718808008e-08,5.234804084267914e-06,True
0ff1ecfd-d94e-4459-b74e-47b82900a0aa___FAM_B.Rot 0329.JPG,Black_rot,Black_rot,0.9991385151216171,0.0008608376142233212,2.232416577662374e-07,4.2402250200424287e-07,True
1056d6dd-766a-4d2a-8f07-901eb402fa2a___FAM_B.Rot 0539.JPG,Black_rot,Black_rot,0.9992097096865866,0.0007899726387356008,1.1628344842344749e-07,2.0139122932546163e-07,True
127b3861-2889-4bc6-93a6-60ec07c77612___FAM_B.Rot 3615.JPG,Black_rot,Black_rot,0.9999488024092925,3.204076272054585e-07,4.317406065464537e-08,5.0834009019492396e-05,True
141056ca-ab0e-48b7-9495-7b193ccfccb7___FAM_B.Rot 3585.JPG,Black_rot,Black_rot,0.9999862527782002,5.059292797465406e-06,3.789554314208569e-08,8.650033459240222e-06,True
150f2f38-a17a-4d8b-9ba2-406c8d2e7b8a___FAM_B.Rot 3119.JPG,Black_rot,Black_rot,0.8819732302770021,0.11802528607641861,8.147024512235826e-07,6.689441279731528e-07,True
15970ab4-a9f2-4420-966b-38a0cad8f1dc___FAM_B.Rot 3606.JPG,Black_rot,Black_rot,0.8325574176693639,0.166106720205597,0.001081914149945323,0.0002539479750938506,True
15a4e7ad-b75d-433a-8bb8-097ab86a71fb___FAM_B.Rot 0515.JPG,Black_rot,Black_rot,0.9973199917788922,2.7404425695166784e-05,0.0002919707827755533,0.0023606330126372077,True
