feature_index,feature_name,importancia,ranking
20,feature_20,0.037986859882224035,1
21,feature_21,0.027551153339198962,2
27,feature_27,0.025027309674210494,3
19,feature_19,0.024770516514475146,4
50,feature_50,0.023762675256766477,5
28,feature_28,0.019158499096054712,6
154,feature_154,0.017970415616222972,7
26,feature_26,0.01747719290384997,8
152,feature_152,0.015739469776153363,9
155,feature_155,0.015100865523967272,10
18,feature_18,0.014936466694217795,11
150,feature_150,0.014098077162223707,12
52,feature_52,0.013096636273729102,13
153,feature_153,0.013055433155736132,14
16,feature_16,0.011844902614869094,15
29,feature_29,0.011562896594144046,16
130,feature_130,0.011368305459490335,17
122,feature_122,0.010681141460455859,18
124,feature_124,0.010517918719338123,19
151,feature_151,0.010513926798110156,20
31,feature_31,0.010203821523606825,21
126,feature_126,0.010199903423661377,22
128,feature_128,0.010041760525429124,23
49,feature_49,0.009864920390501094,24
125,feature_125,0.009816651401305226,25
129,feature_129,0.009178634330570114,26
123,feature_123,0.008246692737599546,27
10,feature_10,0.008030860988342702,28
198,feature_198,0.007788573908320539,29
22,feature_22,0.007511188073950127,30
5,feature_5,0.007302194456991907,31
48,feature_48,0.007220711909734065,32
147,feature_147,0.007167457398288392,33
17,feature_17,0.007124870516416041,34
149,feature_149,0.0069242329420565124,35
131,feature_131,0.006917072969635278,36
53,feature_53,0.006821488002027613,37
156,feature_156,0.006779663789103276,38
127,feature_127,0.006712630272604348,39
83,feature_83,0.006688306857491014,40
194,feature_194,0.006508801678280151,41
4,feature_4,0.006379678908170117,42
25,feature_25,0.006266539480955716,43
30,feature_30,0.006226921686961139,44
167,feature_167,0.0061073425394954015,45
192,feature_192,0.005901893438576483,46
195,feature_195,0.005808041347087615,47
157,feature_157,0.005726810306839838,48
54,feature_54,0.005669374300916081,49
77,feature_77,0.005515505220385945,50
166,feature_166,0.005494979735613247,51
23,feature_23,0.0054462621085321575,52
32,feature_32,0.005365666508771166,53
102,feature_102,0.005290999065745924,54
82,feature_82,0.005277482454705888,55
45,feature_45,0.005267251941717838,56
197,feature_197,0.0052220025675947645,57
148,feature_148,0.00513113370020739,58
72,feature_72,0.005115706371393849,59
43,feature_43,0.004900243233940504,60
81,feature_81,0.004802129646821056,61
169,feature_169,0.004794518346332636,62
146,feature_146,0.004790659396235239,63
24,feature_24,0.004768591649694589,64
15,feature_15,0.0047272914656760565,65
42,feature_42,0.004688924313501677,66
133,feature_133,0.004594916189117763,67
120,feature_120,0.0045693456691751864,68
47,feature_47,0.0045241544418247156,69
108,feature_108,0.0044845882195394,70
158,feature_158,0.004435048143694491,71
109,feature_109,0.004385521791389509,72
165,feature_165,0.004337982013225599,73
145,feature_145,0.004251140532191808,74
78,feature_78,0.004250228796781333,75
107,feature_107,0.0042134202946422184,76
196,feature_196,0.004171930796015793,77
101,feature_101,0.00416248369148761,78
38,feature_38,0.004130658657229985,79
11,feature_11,0.0041070151631392,80
105,feature_105,0.004086344126644793,81
116,feature_116,0.004038767027216436,82
103,feature_103,0.004024706938849057,83
144,feature_144,0.0038731701429137798,84
100,feature_100,0.0038568292202382907,85
13,feature_13,0.003823011592370813,86
71,feature_71,0.0038066636272033006,87
118,feature_118,0.003746004838720952,88
121,feature_121,0.0037297000052582494,89
84,feature_84,0.0036973606223957697,90
132,feature_132,0.003645450172608632,91
215,feature_215,0.003642893769779279,92
104,feature_104,0.003587663182048162,93
39,feature_39,0.0035594249846905546,94
193,feature_193,0.003510503977316574,95
14,feature_14,0.003479362370292061,96
56,feature_56,0.003462061694398977,97
34,feature_34,0.003432596519310129,98
106,feature_106,0.0033666820109524973,99
119,feature_119,0.0032662175854743353,100
12,feature_12,0.003215539298301826,101
79,feature_79,0.0031636653687764534,102
55,feature_55,0.0031448562751493925,103
170,feature_170,0.003129716108562962,104
33,feature_33,0.0031067173007986843,105
80,feature_80,0.0030904457254718114,106
99,feature_99,0.003089424477744581,107
98,feature_98,0.0029441996657426474,108
191,feature_191,0.0029422597892934973,109
85,feature_85,0.002917149119160292,110
113,feature_113,0.0028825532144361983,111
164,feature_164,0.002828866093848832,112
225,feature_225,0.0028279068813702193,113
9,feature_9,0.0028231059840993244,114
217,feature_217,0.0027683578427434405,115
117,feature_117,0.002749579886524566,116
213,feature_213,0.00273433999430991,117
88,feature_88,0.0026904255719979887,118
86,feature_86,0.002624117247968058,119
163,feature_163,0.0025939921930010065,120
143,feature_143,0.0025776973060201644,121
110,feature_110,0.0025747945313895496,122
97,feature_97,0.002552023697325737,123
51,feature_51,0.002462422176385175,124
2,feature_2,0.0024611779861315563,125
136,feature_136,0.002448176102511386,126
37,feature_37,0.002416836963994438,127
46,feature_46,0.0023970040906641046,128
57,feature_57,0.0023845754363803376,129
66,feature_66,0.002352992880536866,130
114,feature_114,0.002352186398943004,131
87,feature_87,0.0022903201399382916,132
219,feature_219,0.002217921762002335,133
161,feature_161,0.002206564323067726,134
162,feature_162,0.0021393893774476667,135
160,feature_160,0.002138882599689553,136
112,feature_112,0.002133614323876297,137
199,feature_199,0.0021172552393717192,138
216,feature_216,0.002104933126540213,139
59,feature_59,0.0021001248366750895,140
64,feature_64,0.0020774360112333703,141
36,feature_36,0.0020761934862879735,142
96,feature_96,0.0020232200363132988,143
93,feature_93,0.0019914417045045567,144
142,feature_142,0.0019773507073368515,145
214,feature_214,0.0019656978214405573,146
159,feature_159,0.001965240050440971,147
218,feature_218,0.001956630597971875,148
68,feature_68,0.0019336319280769021,149
67,feature_67,0.001920868208801494,150
111,feature_111,0.001910845237672993,151
89,feature_89,0.0018642257287897384,152
58,feature_58,0.0018630652224654544,153
134,feature_134,0.0018253747955596373,154
63,feature_63,0.0018175829095048398,155
44,feature_44,0.0018157839080705604,156
201,feature_201,0.0017933092014122622,157
220,feature_220,0.0017661062340286436,158
60,feature_60,0.001692523409044465,159
1,feature_1,0.0016557140766236143,160
190,feature_190,0.0016087008859757847,161
171,feature_171,0.001593554746017447,162
90,feature_90,0.001592813272489382,163
212,feature_212,0.0015851692552478218,164
62,feature_62,0.0015552124386267465,165
189,feature_189,0.0015376732949296025,166
65,feature_65,0.0015283064101990621,167
69,feature_69,0.0015159091219061446,168
74,feature_74,0.0015067447990045357,169
221,feature_221,0.001488986481860197,170
91,feature_91,0.001478242102885004,171
140,feature_140,0.0014757118405701957,172
141,feature_141,0.0014693120919746865,173
6,feature_6,0.0014675067770292315,174
209,feature_209,0.0014658065934099965,175
224,feature_224,0.0014354455646632131,176
211,feature_211,0.0014129217253464178,177
3,feature_3,0.0014108133736888853,178
208,feature_208,0.0013839456072055542,179
135,feature_135,0.0013564079225312031,180
115,feature_115,0.0013524699387721393,181
168,feature_168,0.0013173869745641907,182
207,feature_207,0.0013143897027327134,183
200,feature_200,0.0012967634591246548,184
35,feature_35,0.0012883458830301845,185
40,feature_40,0.0012878973848518896,186
70,feature_70,0.001286748357749031,187
210,feature_210,0.001280812478300356,188
0,feature_0,0.0012699112110603537,189
95,feature_95,0.0012628533545460889,190
76,feature_76,0.0012548694749443194,191
179,feature_179,0.0012150647031414065,192
41,feature_41,0.0011924671554286866,193
172,feature_172,0.0011833629650822525,194
92,feature_92,0.0011699730187933182,195
181,feature_181,0.001147677034625086,196
188,feature_188,0.0011059379593003772,197
186,feature_186,0.001078503921081351,198
180,feature_180,0.001038116879981913,199
73,feature_73,0.000986361589664616,200
94,feature_94,0.0009743641715265728,201
187,feature_187,0.0009373744321609315,202
203,feature_203,0.0009337808540937128,203
173,feature_173,0.0009303221477893784,204
176,feature_176,0.0009005025022967395,205
177,feature_177,0.000874944079901155,206
61,feature_61,0.000856565865862529,207
139,feature_139,0.0008554631697057686,208
75,feature_75,0.0008551139203977336,209
175,feature_175,0.0008408261448760553,210
202,feature_202,0.0008194163308268285,211
178,feature_178,0.000815940521262013,212
226,feature_226,0.0008059607625830459,213
8,feature_8,0.000799256844768798,214
206,feature_206,0.000784044166644944,215
174,feature_174,0.0007792136682918308,216
182,feature_182,0.0007712820601005434,217
223,feature_223,0.0007526020410904772,218
7,feature_7,0.0007405765441967484,219
185,feature_185,0.0007062622321459275,220
183,feature_183,0.0007053435028200407,221
204,feature_204,0.0006600028550380892,222
184,feature_184,0.0006584661141645332,223
205,feature_205,0.0006390346829612945,224
222,feature_222,0.0006250499111063707,225
138,feature_138,0.0005508000753072806,226
137,feature_137,0.0004291408766088844,227
