archivo,clase_real,clase_predicha,prob_Black_rot,prob_Esca,prob_Healthy,prob_Leaf_blight,correcto
003d09ef-e16c-4e8a-badf-847d46cb3dc0___FAM_B.Rot 3184.JPG,Black_rot,Black_rot,0.605,0.105,0.005,0.285,True
00cab05d-e87b-4cf6-87d8-284f3ec99626___FAM_B.Rot 3244.JPG,Black_rot,Black_rot,0.945,0.055,0.0,0.0,True
00cff577-afd4-4e36-ac9c-a52aa6ae5949___FAM_B.Rot 0508.JPG,Black_rot,Black_rot,0.74,0.16,0.055,0.045,True
02e135dd-a02e-40a5-a049-4b5fa978445c___FAM_B.Rot 3063.JPG,Black_rot,Black_rot,0.775,0.21,0.005,0.01,True
045e07eb-5005-4943-90f2-bd62525b1076___FAM_B.Rot 3524.JPG,Black_rot,Black_rot,0.74,0.22,0.015,0.025,True
04af92d1-7da1-49a8-aba6-f7110b52a90f___FAM_B.Rot 3546.JPG,Black_rot,Black_rot,0.615,0.36,0.005,0.02,True
06334f9c-abb5-4ded-b731-3588a818ec85___FAM_B.Rot 3497.JPG,Black_rot,Black_rot,0.935,0.055,0.005,0.005,True
08a7300a-1e67-4441-9521-9168d47cd665___FAM_B.Rot 3020.JPG,Black_rot,Black_rot,0.71,0.025,0.02,0.245,True
0aff8add-93ad-4099-97ae-23515744e620___FAM_B.Rot 0748.JPG,Black_rot,Black_rot,0.835,0.06,0.065,0.04,True
0baabe1e-b188-4c55-8f61-0f484f90c73b___FAM_B.Rot 3532.JPG,Black_rot,Black_rot,0.59,0.335,0.015,0.06,True
0bc6da94-2f94-4e4f-8858-b1a855dffbdf___FAM_B.Rot 3420.JPG,Black_rot,Black_rot,0.71,0.26,0.025,0.005,True
0cf5d61f-fb1a-4533-b0aa-f174d2acdc82___FAM_B.Rot 0721.JPG,Black_rot,Black_rot,0.945,0.02,0.01,0.025,True
0d2c5ad5-1a2d-44f9-9be5-1aef9a51fb95___FAM_B.Rot 3469.JPG,Black_rot,Black_rot,0.76,0.175,0.045,0.02,True
0d907173-6ef8-4fbd-b682-f0a7a5263de0___FAM_B.Rot 3298.JPG,Black_rot,Black_rot,0.79,0.01,0.02,0.18,True
0e143d33-adc0-41af-92e2-d0bb712d7b72___FAM_B.Rot 5047.JPG,Black_rot,Black_rot,0.825,0.17,0.0,0.005,True
0ff1ecfd-d94e-4459-b74e-47b82900a0aa___FAM_B.Rot 0329.JPG,Black_rot,Black_rot,0.605,0.28,0.11,0.005,True
1056d6dd-766a-4d2a-8f07-901eb402fa2a___FAM_B.Rot 0539.JPG,Black_rot,Black_rot,0.94,0.055,0.005,0.0,True
127b3861-2889-4bc6-93a6-60ec07c77612___FAM_B.Rot 3615.JPG,Black_rot,Black_rot,0.855,0.05,0.0,0.095,True
141056ca-ab0e-48b7-9495-7b193ccfccb7___FAM_B.Rot 3585.JPG,Black_rot,Black_rot,0.98,0.015,0.0,0.005,True
150f2f38-a17a-4d8b-9ba2-406c8d2e7b8a___FAM_B.Rot 3119.JPG,Black_rot,Black_rot,0.915,0.085,0.0,0.0,True
15970ab4-a9f2-4420-966b-38a0cad8f1dc___FAM_B.Rot 3606.JPG,Black_rot,Black_rot,0.59,0.345,0.04,0.025,True
15a4e7ad-b75d-433a-8bb8-097ab86a71fb___FAM_B.Rot 0515.JPG,Black_rot,Black_rot,0.575,0.075,0.26,0.09,True
18e68e49-97d7-469e-b86f-eb8814aad525___FAM_B.Rot 3328.JPG,Black_rot,Black_rot,0.895,0.1,0.005,0.0,True
19fb3c5f-8c99-40da-96b0-4b66e0f87f04___FAM_B.Rot 3072.JPG,Black_rot,Black_rot,0.755,0.035,0.04,0.17,True
1a6aabd0-7ca8-4074-a457-5a8f3662a7d7___FAM_B.Rot 3539.JPG,Black_rot,Black_rot,0.78,0.045,0.03,0.145,True
1b89066d-0c1a-4e7a-85de-361639737137___FAM_B.Rot 0657.JPG,Black_rot,Black_rot,0.83,0.155,0.0,0.015,True
1cf4f8fe-a820-4f3d-b69b-795e57e03a65___FAM_B.Rot 3438.JPG,Black_rot,Black_rot,0.855,0.06,0.025,0.06,True
1e24a20d-3dbf-42fe-b3ee-0a1281a92159___FAM_B.Rot 0636.JPG,Black_rot,Black_rot,0.77,0.2,0.005,0.025,True
1f3c15b8-5d36-4238-a6d3-f5a23ad8865c___FAM_B.Rot 3514.JPG,Black_rot,Black_rot,0.79,0.07,0.035,0.105,True
1f65cd54-490a-49a4-909c-a648ea5bc8ed___FAM_B.Rot 0498.JPG,Black_rot,Black_rot,0.49,0.485,0.0,0.025,True
1f9c1d18-b444-4f1f-befb-483955c9ff9d___FAM_B.Rot 0572.JPG,Black_rot,Black_rot,0.97,0.02,0.01,0.0,True
20116670-5108-4cd0-a941-b51046151c43___FAM_B.Rot 3551.JPG,Black_rot,Leaf_blight,0.37,0.09,0.0,0.54,False
237405e4-4ba2-486f-b29f-ceed2a217a90___FAM_B.Rot 3225.JPG,Black_rot,Black_rot,0.86,0.13,0.0,0.01,True
23b27c33-a960-4f91-9160-045f3471ff7b___FAM_B.Rot 0430.JPG,Black_rot,Black_rot,0.92,0.075,0.0,0.005,True
2588912e-39a8-40d7-a22c-a4cfdd4d09f5___FAM_B.Rot 3388.JPG,Black_rot,Black_rot,0.815,0.185,0.0,0.0,True
26164e5c-d4d9-469c-a182-e43a7acf843e___FAM_B.Rot 3053.JPG,Black_rot,Black_rot,0.695,0.2,0.09,0.015,True
288b8171-727a-49c5-ac1a-bda4698a284f___FAM_B.Rot 3580.JPG,Black_rot,Black_rot,0.985,0.01,0.0,0.005,True
28e1d198-a1d1-4a3a-90e9-91b783c4c40a___FAM_B.Rot 3061.JPG,Black_rot,Black_rot,0.845,0.07,0.045,0.04,True
2937853b-b9b5-4bb1-8dcc-913403781965___FAM_B.Rot 3565.JPG,Black_rot,Black_rot,0.55,0.295,0.015,0.14,True
2967ce16-10d0-4a61-90af-4d5092c1538e___FAM_B.Rot 3054.JPG,Black_rot,Black_rot,0.73,0.18,0.09,0.0,True
2a23e141-e983-44b0-8898-5c65edf9d44e___FAM_B.Rot 0604.JPG,Black_rot,Black_rot,0.66,0.24,0.055,0.045,True
2aca8f4c-4538-459d-8b6e-c84dfa0baa58___FAM_B.Rot 3247.JPG,Black_rot,Black_rot,0.985,0.015,0.0,0.0,True
2b65c0c7-ceaa-4e42-9bf7-8df56e73e992___FAM_B.Rot 0582.JPG,Black_rot,Black_rot,0.74,0.085,0.075,0.1,True
2d362d18-4de1-4c49-8655-31d553305865___FAM_B.Rot 3485.JPG,Black_rot,Black_rot,0.925,0.005,0.055,0.015,True
2d9c7e4e-a960-4de9-b606-d36c01b89778___FAM_B.Rot 0707.JPG,Black_rot,Black_rot,0.65,0.29,0.02,0.04,True
308370b6-de46-4127-ad4e-ccbc67725881___FAM_B.Rot 3230.JPG,Black_rot,Black_rot,0.735,0.245,0.0,0.02,True
30a4f61a-34ef-4293-87bf-37b0b338c449___FAM_B.Rot 3121.JPG,Black_rot,Black_rot,0.905,0.095,0.0,0.0,True
314a8a7e-9409-4e3c-9be4-e00156db4d19___FAM_B.Rot 3542.JPG,Black_rot,Black_rot,0.895,0.045,0.015,0.045,True
314f0d89-f61c-4076-8584-85f51fdcfb06___FAM_B.Rot 3566.JPG,Black_rot,Black_rot,0.775,0.165,0.005,0.055,True
32ccb28a-15a7-4358-8806-a052914b00e0___FAM_B.Rot 0523.JPG,Black_rot,Black_rot,0.82,0.03,0.04,0.11,True
33a6b4b5-8cc8-4533-b831-eb40c4ec61f9___FAM_B.Rot 3188.JPG,Black_rot,Black_rot,0.635,0.345,0.015,0.005,True
33f329ff-48f1-4c8d-b88c-2fcf9e2a94f7___FAM_B.Rot 3037.JPG,Black_rot,Black_rot,0.845,0.11,0.04,0.005,True
351a2629-8312-47fe-be70-2cd33d7548b5___FAM_B.Rot 3390.JPG,Black_rot,Black_rot,0.835,0.08,0.0,0.085,True
3588f6c1-e117-4f85-b9e5-b2082d6dcf52___FAM_B.Rot 3419.JPG,Black_rot,Black_rot,0.815,0.125,0.04,0.02,True
37556529-d885-49b1-a6dd-7250fdc34592___FAM_B.Rot 3618.JPG,Black_rot,Black_rot,0.735,0.155,0.005,0.105,True
39022631-41f4-4d41-af30-f025f581ff7d___FAM_B.Rot 3285.JPG,Black_rot,Black_rot,0.95,0.045,0.005,0.0,True
