rank_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_test_f1_macro,std_test_f1_macro,mean_train_balanced_accuracy,std_train_balanced_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
1,0.969673,0.00538,0.968291,0.004067,0.968297,0.004057,0.972132,0.004175,0.999944,0.000113,110.243233,0.870339,0.223267,0.022521,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}"
2,0.968506,0.004126,0.966131,0.004263,0.966134,0.004249,0.970723,0.003574,1.0,0.0,233.590271,2.030744,0.457601,0.072794,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
3,0.968398,0.003904,0.967367,0.003803,0.967374,0.003811,0.971132,0.003205,0.999943,0.000113,218.33541,6.028914,0.369084,0.106386,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
4,0.968242,0.00346,0.966441,0.00314,0.966466,0.003105,0.970406,0.003166,1.0,0.0,198.738342,1.098309,0.367101,0.061851,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}"
5,0.967975,0.006908,0.967367,0.005442,0.967393,0.005406,0.970899,0.005701,0.999887,0.000138,106.035565,0.79291,0.228571,0.07466,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}"
6,0.967651,0.007273,0.966131,0.006688,0.966141,0.006661,0.96998,0.00649,1.0,0.0,136.056088,5.758957,0.423839,0.220587,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
7,0.967618,0.001635,0.964901,0.003142,0.964917,0.00311,0.969668,0.001787,0.999944,0.000113,97.774185,0.795359,0.253025,0.103689,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}"
8,0.967365,0.001798,0.964593,0.003516,0.964625,0.003474,0.969455,0.002037,0.999944,0.000113,117.111581,1.136053,0.191023,0.037368,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}"
9,0.967201,0.002668,0.966442,0.00297,0.966451,0.002981,0.97012,0.002143,1.0,0.0,204.692551,4.925859,0.412675,0.095256,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
10,0.967122,0.007407,0.965515,0.007072,0.965522,0.007042,0.969484,0.006644,1.0,0.0,115.254675,1.14669,0.231937,0.065652,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
