rank_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_test_f1_macro,std_test_f1_macro,mean_train_balanced_accuracy,std_train_balanced_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
1,0.981752,0.002003,0.978758,0.002973,0.978827,0.002957,0.982092,0.002129,0.999669,0.000209,17.473712,1.359914,1.154453,0.079138,"{""modelo__C"": 10, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
1,0.981752,0.002057,0.978758,0.003128,0.978826,0.003111,0.982092,0.002204,0.999934,0.000132,19.159045,0.102402,1.127008,0.101866,"{""modelo__C"": 10, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
1,0.981752,0.002057,0.978758,0.003128,0.978826,0.003111,0.982092,0.002204,0.999934,0.000132,18.593607,0.471245,1.178531,0.077284,"{""modelo__C"": 10, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
1,0.981752,0.002003,0.978758,0.002973,0.978827,0.002957,0.982092,0.002129,0.999669,0.000209,19.321683,0.16531,1.244406,0.041179,"{""modelo__C"": 10, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
5,0.98145,0.00253,0.97845,0.002739,0.978516,0.002735,0.981842,0.002252,1.0,0.0,18.449232,0.628662,1.069376,0.064033,"{""modelo__C"": 100, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
5,0.98145,0.00253,0.97845,0.002739,0.978516,0.002735,0.981842,0.002252,1.0,0.0,20.70969,0.951018,1.138319,0.085329,"{""modelo__C"": 100, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
5,0.98145,0.00253,0.97845,0.002739,0.978516,0.002735,0.981842,0.002252,1.0,0.0,18.678746,1.527654,1.229341,0.061083,"{""modelo__C"": 100, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
5,0.98145,0.00253,0.97845,0.002739,0.978516,0.002735,0.981842,0.002252,1.0,0.0,20.497504,0.431951,1.203997,0.076369,"{""modelo__C"": 100, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
9,0.978704,0.00347,0.975061,0.004909,0.975104,0.004881,0.977672,0.004726,0.993241,0.000706,10.123512,0.19769,0.835892,0.059259,"{""modelo__C"": 10, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
10,0.978313,0.001693,0.975985,0.003314,0.976026,0.003307,0.978127,0.003546,0.994418,0.000352,11.553109,0.210145,0.814475,0.085193,"{""modelo__C"": 10, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
11,0.977467,0.004672,0.974444,0.005572,0.974471,0.005541,0.976861,0.00461,0.99947,0.000162,10.503871,0.307471,0.692281,0.06762,"{""modelo__C"": 100, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
12,0.976673,0.004035,0.97352,0.004822,0.973545,0.004793,0.97612,0.003875,0.99947,0.000162,9.977712,0.156656,0.621065,0.058096,"{""modelo__C"": 100, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
13,0.974646,0.00309,0.970133,0.004221,0.970264,0.004204,0.974858,0.003605,0.993016,0.000692,7.482353,1.464507,0.993386,0.486671,"{""modelo__C"": 1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
13,0.974646,0.00309,0.970133,0.004221,0.970264,0.004204,0.974858,0.003605,0.993016,0.000692,16.30146,3.73323,1.260723,0.30174,"{""modelo__C"": 1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
15,0.971661,0.003467,0.968904,0.005187,0.969145,0.0051,0.972665,0.003621,1.0,0.0,34.509111,0.704518,1.69959,0.120412,"{""modelo__C"": 10, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
15,0.971661,0.003467,0.968904,0.005187,0.969145,0.0051,0.972665,0.003621,1.0,0.0,33.460958,0.756134,1.765569,0.160485,"{""modelo__C"": 10, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
15,0.971661,0.003467,0.968904,0.005187,0.969145,0.0051,0.972665,0.003621,1.0,0.0,35.226696,1.297886,1.926877,0.194867,"{""modelo__C"": 100, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
15,0.971661,0.003467,0.968904,0.005187,0.969145,0.0051,0.972665,0.003621,1.0,0.0,19.526777,1.02488,0.749058,0.06534,"{""modelo__C"": 100, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
19,0.970383,0.003905,0.963667,0.006593,0.963833,0.006552,0.97001,0.004999,0.990744,0.000779,22.89028,0.325398,1.402841,0.055892,"{""modelo__C"": 1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
19,0.970383,0.003905,0.963667,0.006593,0.963833,0.006552,0.97001,0.004999,0.990744,0.000779,22.404213,0.400223,1.440924,0.056477,"{""modelo__C"": 1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
21,0.966359,0.002241,0.962438,0.001572,0.962764,0.001554,0.967431,0.001111,0.997395,0.000333,32.129192,0.356453,1.977601,0.10147,"{""modelo__C"": 1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
22,0.962418,0.004772,0.958741,0.006053,0.958845,0.006123,0.963851,0.005113,0.987536,0.000709,9.310406,0.172839,0.276156,0.023419,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""None"", ""modelo__kernel"": ""linear""}"
23,0.96229,0.003901,0.959665,0.005023,0.959781,0.005044,0.96409,0.00396,0.98685,0.000639,9.175888,0.13519,0.28074,0.018543,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""balanced"", ""modelo__kernel"": ""linear""}"
24,0.961629,0.004076,0.955969,0.007728,0.95638,0.007654,0.962343,0.005577,0.996076,0.000453,35.92156,1.222458,1.995893,0.146953,"{""modelo__C"": 1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
25,0.959634,0.007821,0.952581,0.008027,0.952694,0.008026,0.958308,0.007214,0.969767,0.001268,14.969509,0.689598,0.841571,0.5004,"{""modelo__C"": 1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
26,0.959037,0.006629,0.954737,0.006959,0.954805,0.006995,0.960591,0.006104,0.994497,0.000739,11.68489,0.550046,0.241389,0.071547,"{""modelo__C"": 1, ""modelo__class_weight"": ""None"", ""modelo__kernel"": ""linear""}"
27,0.958595,0.008667,0.948886,0.010355,0.949,0.010359,0.95548,0.008364,0.967393,0.001778,22.080189,0.14133,1.458425,0.058675,"{""modelo__C"": 1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
28,0.957763,0.005823,0.95289,0.006606,0.953002,0.006615,0.959168,0.005562,0.993782,0.00089,10.524095,0.269268,0.215505,0.047435,"{""modelo__C"": 1, ""modelo__class_weight"": ""balanced"", ""modelo__kernel"": ""linear""}"
29,0.952842,0.003005,0.94735,0.003589,0.947377,0.003613,0.954665,0.002706,0.999386,0.000363,17.090367,2.288007,0.17474,0.074677,"{""modelo__C"": 10, ""modelo__class_weight"": ""None"", ""modelo__kernel"": ""linear""}"
30,0.952804,0.00144,0.947351,0.002663,0.947364,0.00276,0.95465,0.001896,0.999094,0.000583,15.012808,2.077199,0.1512,0.018547,"{""modelo__C"": 10, ""modelo__class_weight"": ""balanced"", ""modelo__kernel"": ""linear""}"
31,0.951638,0.002427,0.945812,0.004918,0.945848,0.004933,0.953431,0.003439,1.0,0.0,16.702495,2.511281,0.196715,0.040434,"{""modelo__C"": 100, ""modelo__class_weight"": ""None"", ""modelo__kernel"": ""linear""}"
31,0.951638,0.002427,0.945812,0.004918,0.945848,0.004933,0.953431,0.003439,1.0,0.0,18.66322,2.981239,0.222307,0.063671,"{""modelo__C"": 100, ""modelo__class_weight"": ""balanced"", ""modelo__kernel"": ""linear""}"
33,0.924216,0.007623,0.911942,0.011281,0.912847,0.011175,0.925412,0.008228,0.934041,0.002846,35.529574,0.978799,0.808199,0.302001,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
33,0.924216,0.007623,0.911942,0.011281,0.912847,0.011175,0.925412,0.008228,0.934041,0.002846,29.205626,1.790453,1.414452,0.829899,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
35,0.918689,0.009238,0.898701,0.012496,0.899192,0.012455,0.899,0.013381,0.926335,0.001964,20.31161,6.074889,0.64117,0.031892,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""scale"", ""modelo__kernel"": ""rbf""}"
35,0.918689,0.009238,0.898701,0.012496,0.899192,0.012455,0.899,0.013381,0.926335,0.001964,10.886726,0.577095,0.699947,0.049424,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": ""auto"", ""modelo__kernel"": ""rbf""}"
37,0.89733,0.007577,0.876536,0.009357,0.876532,0.009421,0.888448,0.00838,0.903073,0.002718,13.301902,0.155594,0.772852,0.020921,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
38,0.89103,0.008974,0.879926,0.007972,0.880473,0.007897,0.893484,0.007574,0.895916,0.002032,34.462685,3.568592,1.610085,0.894593,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.001, ""modelo__kernel"": ""rbf""}"
39,0.881782,0.013035,0.85221,0.016538,0.857079,0.01574,0.841589,0.017399,0.898983,0.002014,21.418112,4.695055,2.564112,0.920588,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""balanced"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
40,0.808313,0.009317,0.845746,0.012926,0.848049,0.011875,0.83207,0.009626,0.84702,0.003764,36.494963,2.731496,0.756004,0.055904,"{""modelo__C"": 0.1, ""modelo__class_weight"": ""None"", ""modelo__gamma"": 0.01, ""modelo__kernel"": ""rbf""}"
