rank_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_test_f1_macro,std_test_f1_macro,mean_train_balanced_accuracy,std_train_balanced_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
1,0.969014,0.008837,0.962742,0.008802,0.962843,0.008775,0.968009,0.0089,0.999717,0.000253,24.115715,1.124535,0.081605,0.057907,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
2,0.968014,0.008103,0.961818,0.007778,0.961971,0.007739,0.967194,0.007972,1.0,0.0,43.383448,0.182599,0.129422,0.0121,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
3,0.967998,0.008569,0.961818,0.00825,0.961944,0.008199,0.967187,0.008472,1.0,0.0,9.843986,0.572627,0.024175,0.005292,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
4,0.967849,0.008172,0.96151,0.009706,0.961612,0.009651,0.966557,0.008853,0.999774,0.000277,42.571904,0.160014,0.133747,0.039913,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}"
5,0.967792,0.008707,0.961818,0.008307,0.961947,0.008279,0.967006,0.008636,0.999887,0.000138,83.928971,0.774558,0.260812,0.063785,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
6,0.967693,0.007857,0.960587,0.007659,0.960687,0.00768,0.96618,0.008243,1.0,0.0,84.530659,1.382912,0.295157,0.064796,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}"
7,0.967384,0.00841,0.960893,0.009693,0.960982,0.009653,0.966336,0.008811,0.999717,0.000253,10.052528,0.200348,0.021517,0.004982,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}"
8,0.967312,0.006755,0.96028,0.006928,0.9604,0.006936,0.965874,0.007338,0.999944,0.000113,24.537433,0.988542,0.066689,0.046311,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}"
9,0.967048,0.008796,0.959971,0.00889,0.960055,0.008897,0.965589,0.00924,0.999831,0.000226,84.304162,0.50695,0.22801,0.061016,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}"
10,0.967022,0.008773,0.95997,0.008999,0.960066,0.009011,0.965568,0.009268,0.999887,0.000138,21.564497,1.12923,0.022978,0.002133,"{""class_weight"": ""None"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}"
