rank_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_f1_weighted,std_test_f1_weighted,mean_test_f1_macro,std_test_f1_macro,mean_train_balanced_accuracy,std_train_balanced_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
1,0.968923,0.005294,0.962127,0.007533,0.962114,0.007494,0.968747,0.005875,1.0,0.0,0.091608,0.014596,2.460207,0.100461,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 5, ""modelo__weights"": ""distance""}"
2,0.968137,0.004247,0.961821,0.004416,0.961793,0.004429,0.968437,0.0041,1.0,0.0,0.121435,0.041979,2.447543,0.065923,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 3, ""modelo__weights"": ""distance""}"
3,0.967594,0.003895,0.961205,0.00396,0.961207,0.003969,0.967921,0.003711,0.987975,0.000958,0.193681,0.036344,2.46043,0.033776,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 3, ""modelo__weights"": ""uniform""}"
4,0.967346,0.004482,0.960281,0.00643,0.960309,0.006395,0.967183,0.004981,0.980532,0.001446,0.087955,0.006979,2.491601,0.084535,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 5, ""modelo__weights"": ""uniform""}"
5,0.963624,0.006194,0.955969,0.007415,0.955983,0.00742,0.963895,0.00647,1.0,0.0,0.115354,0.030726,1.966286,0.276213,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 7, ""modelo__weights"": ""distance""}"
6,0.96289,0.00701,0.955661,0.008077,0.955714,0.008066,0.963423,0.007084,0.97456,0.002091,0.087575,0.007552,2.432142,0.040405,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""manhattan"", ""modelo__n_neighbors"": 7, ""modelo__weights"": ""uniform""}"
7,0.959963,0.006188,0.953511,0.006101,0.953381,0.00613,0.961021,0.005351,1.0,0.0,0.13905,0.005849,1.256691,0.043449,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 3, ""modelo__weights"": ""distance""}"
8,0.959324,0.005751,0.952587,0.005621,0.952492,0.005675,0.960359,0.00514,0.982648,0.000852,0.145261,0.010302,1.519621,0.079634,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 3, ""modelo__weights"": ""uniform""}"
9,0.955794,0.006155,0.948275,0.006931,0.94813,0.006968,0.956851,0.005522,1.0,0.0,0.094168,0.003822,0.34016,0.014159,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 5, ""modelo__weights"": ""distance""}"
10,0.954685,0.006142,0.94735,0.006133,0.947243,0.006156,0.955929,0.005148,1.0,0.0,0.139419,0.032634,0.5656,0.046802,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 7, ""modelo__weights"": ""distance""}"
11,0.953864,0.006676,0.946426,0.006433,0.946386,0.006425,0.955174,0.005398,0.967071,0.002443,0.118977,0.037687,0.702963,0.09091,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 7, ""modelo__weights"": ""uniform""}"
12,0.953825,0.006541,0.947043,0.007589,0.946939,0.007633,0.955349,0.005957,0.974366,0.001501,0.113255,0.016965,0.944107,0.515934,"{""modelo__algorithm"": ""auto"", ""modelo__metric"": ""euclidean"", ""modelo__n_neighbors"": 5, ""modelo__weights"": ""uniform""}"
